ehsyear,dataset,ukda,general,interview,physical,modelled_physical,vacant,attitudes,firstimp_int,firstimp_phy,hhldtype,people,renter,rooms,owner,income,fire,disability,identity,interior,shared,around,shape,numflats,dwelling,adapthh,adaptpers,serial_number,h_weight,d_weight,region,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4x,agehrp4x,agehrp6x,ndepchild,hhsizex,famnumx,noUnits1,satisfied_housing,satisfied_tenure
2022,household,UKDA-9317-spss,generalfs22_sl_protect.sav,interviewfs22_sl_protect.sav,,,,attitudes_sl_protect.sav,firstimp_sl_protect.sav,,hhldtype_sl_protect.sav,people_sl_protect.sav,renter_sl_protect.sav,rooms_sl_protect.sav,owner_sl_protect.sav,income_sl_protect.sav,fire_sl_protect.sav,disability_sl_protect.sav,identity_sl_protect.sav,,,,,,dwelling_sl_protect.sav,,,serialanon,aagfh22,,gorehs,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4y,agehrp4x,agehrp6x,ndepchild,hhsizex,famnumx,noUnits1,HSatis,Satten2
2021,household,UKDA-9232-spss,generalfs21_sl_protect.sav,interviewfs21_sl_protect.sav,,,,attitudes_sl_protect.sav,firstimp_sl_protect.sav,,hhldtype_sl_protect.sav,people_sl_protect.sav,renter_sl_protect.sav,rooms_sl_protect.sav,owner_sl_protect.sav,income_sl_protect.sav,fire_sl_protect.sav,disability_sl_protect.sav,identity_sl_protect.sav,,,,,,dwelling_sl_protect.sav,,,serialanon,aagfh21,,gorehs,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4y,agehrp4x,agehrp6x,ndepchild,hhsizex,famnumx,noUnits1,HSatis,Satten2
2020,household,UKDA-9077-spss,generalfs20_sl_protect.sav,interviewfs20_sl_protect.sav,,,,attitudes_sl_protect.sav,,,hhldtype_sl_protect.sav,people_sl_protect.sav,renter_sl_protect.sav,rooms_sl_protect.sav,owner_sl_protect.sav,income_sl_protect.sav,fire_sl_protect.sav,disability_sl_protect.sav,identity_sl_protect.sav,,,,,,dwelling_sl_protect.sav,adaptationshh_sl_protect.sav,adaptationspers_sl_protect.sav,serialanon,aagfh20,,gorehs,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4x,agehrp4x,agehrp6x,ndepchild,hhsizex,famnumx,noUnits1,HSatis,Satten2
2019,household,UKDA-8921-spss,generalfs_sl_protect.sav,interviewfs19_sl_protect.sav,,,,attitudes_sl_protect.sav,firstimp_sl_protect.sav,,hhldtype_sl_protect.sav,people_sl_protect.sav,renter_sl_protect.sav,rooms_sl_protect.sav,owner_sl_protect.sav,income_sl_protect.sav,fire_sl_protect.sav,disability_sl_protect.sav,identity_sl_protect.sav,,,,,,dwelling_sl_protect.sav,adaptationshh_sl_protect.sav,adaptationspers_sl_protect.sav,serialanon,aagfh19,,gorehs,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4x,agehrp4x,agehrp6x,ndepchild,hhsizex,famnumx,noUnits1,HSatis,Satten2
2018,household,UKDA-8719-spss,generalfs18_sl_protect.sav,interviewfs18_sl_protect.sav,,,,attitudes_sl_protect.sav,firstimp_sl_protect.sav,,hhldtype_sl_protect.sav,people_sl_protect.sav,renter_sl_protect.sav,rooms_sl_protect.sav,owner_sl_protect.sav,income_sl_protect.sav,fire_sl_protect.sav,disability_sl_protect.sav,identity_sl_protect.sav,,,,,,dwelling_sl_protect.sav,,,serialanon,aagfh18,,gorehs,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4x,agehrp4x,agehrp6x,ndepchild,hhsizex,famnumx,noUnits1,HSatis,Satten2
2017,household,UKDA-8545-spss,generalfs17_sl_protected.sav,interviewfs17_sl_protected.sav,,,,attitudes_sl_protected.sav,firstimp_sl_protected.sav,,hhldtype_sl_protected.sav,people_sl_protected.sav,renter_sl_protected.sav,rooms_sl_protected.sav,owner_sl_protected.sav,income_sl_protected.sav,fire_sl_protected.sav,disability_sl_protected.sav,identity_sl_protected.sav,,,,,,dwelling_sl_protected.sav,,,serialanon,aagfh17,,gorehs,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4x,agehrp4x,agehrp6x,ndepchild,hhsizex,famnumx,noUnits1,HSatis,Satten2
2016,household,UKDA-8386-spss,generalfs16_sl_protect.sav,interviewfs16_sl_protect.sav,,,,attitudes_sl_protect.sav,firstimp_sl_protect.sav,,hhldtype_sl_protect.sav,people_sl_protect.sav,renter_sl_protect.sav,rooms_sl_protect.sav,owner_sl_protect.sav,income_sl_protect.sav,fire_sl_protect.sav,disability_sl_protect.sav,identity_sl_protect.sav,,,,,,dwelling_sl_protect.sav,,,serialanon,aagfh16,,gorEHS,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4x,agehrp4x,agehrp6x,ndepchild,hhsizex,famnumx,noUnits1,HSatis,Satten2
2015,household,UKDA-8254-spss,generalfs15_sl_protect.sav,interviewfs15_sl_protect.sav,,,,attitudes_sl_protect.sav,firstimp_sl_protect.sav,,hhldtype_sl_protect.sav,people_sl_protect.sav,renter_sl_protect.sav,rooms_sl_protect.sav,owner_sl_protect.sav,income_sl_protect.sav,fire_sl_protect.sav,disability_sl_protect.sav,identity_sl_protect.sav,,,,,,dwelling_sl_protect.sav,,,serialanon,aagfh15,,gorEHS,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4x,agehrp4x,agehrp6x,ndepchild,hhsizex,famnumx,noUnits1,HSatis,Satten2
2014,household,UKDA-8067-spss,generalfs14_sl_protect.sav,interviewfs14_sl_protect.sav,,,,attitudes_sl_protect.sav,firstimp_sl_protect.sav,,hhldtype_sl_protect.sav,people_sl_protect.sav,renter_sl_protect.sav,rooms_sl_protect.sav,owner_sl_protect.sav,income_sl_protect.sav,fire_sl_protect.sav,disability_sl_protect.sav,identity_sl_protect.sav,,,,,,dwelling_sl_protect.sav,adapt_hhld_sl_protect.sav,adapt_person_sl_protect.sav,aacode,aagfh14,,gorEHS,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4x,agehrp4x,agehrp6x,ndepchild,hhsizex,famnumx,noUnits1,HSatis,Satten2
2013,household,UKDA-7801-spss,generalfs13.sav,interviewfs13.sav,,,,attitudes.sav,firstimp.sav,,hhldtype.sav,people.sav,renter.sav,rooms.sav,owner.sav,income.sav,fire.sav,disability.sav,identity.sav,,,,,,dwelling.sav,,,aacode,aagfh13,,GorEHS,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4x,agehrp4x,agehrp6x,ndepchild,hhsizex,famnumx,noUnits1,HSatis,Satten
